description,industry,level,size,line_code,value
What stopped the business from making changes: Not applicable,total,0,100+ employees,C1311,363
What stopped the business from making changes: Not applicable,"Agriculture, forestry, & fishing",1,total,C1311,828
What stopped the business from making changes: Not applicable,Agriculture,2,total,C1311,363
What stopped the business from making changes: Not applicable,Commercial fishing,2,total,C1311,12
What stopped the business from making changes: Not applicable,Forestry & logging,2,total,C1311,45
What stopped the business from making changes: Not applicable,"Agriculture, forestry, & fishing support services",2,total,C1311,411
What stopped the business from making changes: Not applicable,Mining,1,total,C1311,15
What stopped the business from making changes: Not applicable,Manufacturing,1,total,C1311,1401
What stopped the business from making changes: Not applicable,"Food, beverage, & tobacco",2,total,C1311,222
What stopped the business from making changes: Not applicable,"Textile, clothing, footwear, & leather",2,total,C1311,99
What stopped the business from making changes: Not applicable,Wood & paper product,2,total,C1311,168
What stopped the business from making changes: Not applicable,"Printing, publishing, & recorded media",2,total,C1311,48
What stopped the business from making changes: Not applicable,"Petroleum, coal, chemical, & associated product",2,total,C1311,111
What stopped the business from making changes: Not applicable,Non-metallic mineral product,2,total,C1311,51
What stopped the business from making changes: Not applicable,Metal product,2,total,C1311,306
What stopped the business from making changes: Not applicable,Transport and industrial machinery & equipment,2,total,C1311,216
What stopped the business from making changes: Not applicable,Other machinery & equipment,2,total,C1311,72
What stopped the business from making changes: Not applicable,Other manufacturing,2,total,C1311,108
What stopped the business from making changes: Not applicable,"Electricity, gas, water, & waste services",1,total,C1311,27
What stopped the business from making changes: Not applicable,Construction,1,total,C1311,1911
What stopped the business from making changes: Not applicable,Wholesale trade,1,total,C1311,876
What stopped the business from making changes: Not applicable,Machinery & equipment wholesaling,2,total,C1311,282
What stopped the business from making changes: Not applicable,Other wholesale trade,2,total,C1311,594
What stopped the business from making changes: Not applicable,Retail trade,1,total,C1311,1581
What stopped the business from making changes: Not applicable,Accommodation & food services,1,total,C1311,2064
What stopped the business from making changes: Not applicable,"Transport, postal, & warehousing",1,total,C1311,378
What stopped the business from making changes: Not applicable,Information media & telecommunications,1,total,C1311,165
What stopped the business from making changes: Not applicable,Publishing,2,total,C1311,57
What stopped the business from making changes: Not applicable,Motion picture,2,total,C1311,48
What stopped the business from making changes: Not applicable,Telecommunications,2,total,C1311,57
What stopped the business from making changes: Not applicable,Financial & insurance services,1,total,C1311,294
What stopped the business from making changes: Not applicable,Finance,2,total,C1311,84
What stopped the business from making changes: Not applicable,Insurance,2,total,C1311,12
What stopped the business from making changes: Not applicable,Auxiliary,2,total,C1311,201
What stopped the business from making changes: Not applicable,"Rental, hiring, & real estate services",1,total,C1311,372
What stopped the business from making changes: Not applicable,"Professional, scientific, & technical services",1,total,C1311,1725
What stopped the business from making changes: Not applicable,Computer systems design,2,total,C1311,393
What stopped the business from making changes: Not applicable,Other professional scientific,2,total,C1311,1335
What stopped the business from making changes: Not applicable,Administrative & support services,1,total,C1311,630
What stopped the business from making changes: Not applicable,Education & training,1,total,C1311,474
What stopped the business from making changes: Not applicable,Health care & social assistance,1,total,C1311,1053
What stopped the business from making changes: Not applicable,Arts & recreation services,1,total,C1311,219
What stopped the business from making changes: Not applicable,Other services,1,total,C1311,411
What stopped the business from making changes: Not applicable,total,0,total,C1311,14433
What stopped the business from making changes: Don't know,total,0,6–19 employees,C1312,4875
What stopped the business from making changes: Don't know,total,0,20–49 employees,C1312,906
What stopped the business from making changes: Don't know,total,0,50–99 employees,C1312,234
What stopped the business from making changes: Don't know,total,0,100+ employees,C1312,174
What stopped the business from making changes: Don't know,"Agriculture, forestry, & fishing",1,total,C1312,456
What stopped the business from making changes: Don't know,Agriculture,2,total,C1312,264
What stopped the business from making changes: Don't know,Commercial fishing,2,total,C1312,3
What stopped the business from making changes: Don't know,Forestry & logging,2,total,C1312,42
What stopped the business from making changes: Don't know,"Agriculture, forestry, & fishing support services",2,total,C1312,147
What stopped the business from making changes: Don't know,Mining,1,total,C1312,12
What stopped the business from making changes: Don't know,Manufacturing,1,total,C1312,687
What stopped the business from making changes: Don't know,"Food, beverage, & tobacco",2,total,C1312,177
What stopped the business from making changes: Don't know,"Textile, clothing, footwear, & leather",2,total,C1312,18
What stopped the business from making changes: Don't know,Wood & paper product,2,total,C1312,57
What stopped the business from making changes: Don't know,"Printing, publishing, & recorded media",2,total,C1312,39
What stopped the business from making changes: Don't know,"Petroleum, coal, chemical, & associated product",2,total,C1312,45
What stopped the business from making changes: Don't know,Non-metallic mineral product,2,total,C1312,18
What stopped the business from making changes: Don't know,Metal product,2,total,C1312,150
What stopped the business from making changes: Don't know,Transport and industrial machinery & equipment,2,total,C1312,126
What stopped the business from making changes: Don't know,Other machinery & equipment,2,total,C1312,24
What stopped the business from making changes: Don't know,Other manufacturing,2,total,C1312,36
What stopped the business from making changes: Don't know,"Electricity, gas, water, & waste services",1,total,C1312,30
What stopped the business from making changes: Don't know,Construction,1,total,C1312,1071
What stopped the business from making changes: Don't know,Wholesale trade,1,total,C1312,447
What stopped the business from making changes: Don't know,Machinery & equipment wholesaling,2,total,C1312,153
What stopped the business from making changes: Don't know,Other wholesale trade,2,total,C1312,294
What stopped the business from making changes: Don't know,Retail trade,1,total,C1312,513
What stopped the business from making changes: Don't know,Accommodation & food services,1,total,C1312,1383
What stopped the business from making changes: Don't know,"Transport, postal, & warehousing",1,total,C1312,186
What stopped the business from making changes: Don't know,Information media & telecommunications,1,total,C1312,12
What stopped the business from making changes: Don't know,Publishing,2,total,C1312,3
What stopped the business from making changes: Don't know,Motion picture,2,total,C1312,0
What stopped the business from making changes: Don't know,Telecommunications,2,total,C1312,6
What stopped the business from making changes: Don't know,Financial & insurance services,1,total,C1312,30
What stopped the business from making changes: Don't know,Finance,2,total,C1312,15
What stopped the business from making changes: Don't know,Insurance,2,total,C1312,3
What stopped the business from making changes: Don't know,Auxiliary,2,total,C1312,12
What stopped the business from making changes: Don't know,"Rental, hiring, & real estate services",1,total,C1312,114
What stopped the business from making changes: Don't know,"Professional, scientific, & technical services",1,total,C1312,387
What stopped the business from making changes: Don't know,Computer systems design,2,total,C1312,81
What stopped the business from making changes: Don't know,Other professional scientific,2,total,C1312,309
What stopped the business from making changes: Don't know,Administrative & support services,1,total,C1312,186
What stopped the business from making changes: Don't know,Education & training,1,total,C1312,51
What stopped the business from making changes: Don't know,Health care & social assistance,1,total,C1312,324
What stopped the business from making changes: Don't know,Arts & recreation services,1,total,C1312,21
What stopped the business from making changes: Don't know,Other services,1,total,C1312,270
What stopped the business from making changes: Don't know,total,0,total,C1312,6189
Planning to develop programs to offset emissions: Plan to do in response to climate change,total,0,6–19 employees,C1401.01,3186
Planning to develop programs to offset emissions: Plan to do in response to climate change,total,0,20–49 employees,C1401.01,933
Planning to develop programs to offset emissions: Plan to do in response to climate change,total,0,50–99 employees,C1401.01,465
Planning to develop programs to offset emissions: Plan to do in response to climate change,total,0,100+ employees,C1401.01,546
Planning to develop programs to offset emissions: Plan to do in response to climate change,"Agriculture, forestry, & fishing",1,total,C1401.01,891
Planning to develop programs to offset emissions: Plan to do in response to climate change,Agriculture,2,total,C1401.01,768
Planning to develop programs to offset emissions: Plan to do in response to climate change,Commercial fishing,2,total,C1401.01,6
Planning to develop programs to offset emissions: Plan to do in response to climate change,Forestry & logging,2,total,C1401.01,21
Planning to develop programs to offset emissions: Plan to do in response to climate change,"Agriculture, forestry, & fishing support services",2,total,C1401.01,99
Planning to develop programs to offset emissions: Plan to do in response to climate change,Mining,1,total,C1401.01,30
Planning to develop programs to offset emissions: Plan to do in response to climate change,Manufacturing,1,total,C1401.01,612
Planning to develop programs to offset emissions: Plan to do in response to climate change,"Food, beverage, & tobacco",2,total,C1401.01,213
Planning to develop programs to offset emissions: Plan to do in response to climate change,"Textile, clothing, footwear, & leather",2,total,C1401.01,27
Planning to develop programs to offset emissions: Plan to do in response to climate change,Wood & paper product,2,total,C1401.01,36
Planning to develop programs to offset emissions: Plan to do in response to climate change,"Printing, publishing, & recorded media",2,total,C1401.01,36
Planning to develop programs to offset emissions: Plan to do in response to climate change,"Petroleum, coal, chemical, & associated product",2,total,C1401.01,57
Planning to develop programs to offset emissions: Plan to do in response to climate change,Non-metallic mineral product,2,total,C1401.01,30
Planning to develop programs to offset emissions: Plan to do in response to climate change,Metal product,2,total,C1401.01,105
Planning to develop programs to offset emissions: Plan to do in response to climate change,Transport and industrial machinery & equipment,2,total,C1401.01,42
Planning to develop programs to offset emissions: Plan to do in response to climate change,Other machinery & equipment,2,total,C1401.01,27
Planning to develop programs to offset emissions: Plan to do in response to climate change,Other manufacturing,2,total,C1401.01,36
Planning to develop programs to offset emissions: Plan to do in response to climate change,"Electricity, gas, water, & waste services",1,total,C1401.01,42
Planning to develop programs to offset emissions: Plan to do in response to climate change,Construction,1,total,C1401.01,363
Planning to develop programs to offset emissions: Plan to do in response to climate change,Wholesale trade,1,total,C1401.01,438
Planning to develop programs to offset emissions: Plan to do in response to climate change,Machinery & equipment wholesaling,2,total,C1401.01,108
Planning to develop programs to offset emissions: Plan to do in response to climate change,Other wholesale trade,2,total,C1401.01,327
Planning to develop programs to offset emissions: Plan to do in response to climate change,Retail trade,1,total,C1401.01,321
Planning to develop programs to offset emissions: Plan to do in response to climate change,Accommodation & food services,1,total,C1401.01,390
Planning to develop programs to offset emissions: Plan to do in response to climate change,"Transport, postal, & warehousing",1,total,C1401.01,258
Planning to develop programs to offset emissions: Plan to do in response to climate change,Information media & telecommunications,1,total,C1401.01,66
Planning to develop programs to offset emissions: Plan to do in response to climate change,Publishing,2,total,C1401.01,24
Planning to develop programs to offset emissions: Plan to do in response to climate change,Motion picture,2,total,C1401.01,12
Planning to develop programs to offset emissions: Plan to do in response to climate change,Telecommunications,2,total,C1401.01,27
Planning to develop programs to offset emissions: Plan to do in response to climate change,Financial & insurance services,1,total,C1401.01,84
Planning to develop programs to offset emissions: Plan to do in response to climate change,Finance,2,total,C1401.01,30
Planning to develop programs to offset emissions: Plan to do in response to climate change,Insurance,2,total,C1401.01,9
Planning to develop programs to offset emissions: Plan to do in response to climate change,Auxiliary,2,total,C1401.01,45
Planning to develop programs to offset emissions: Plan to do in response to climate change,"Rental, hiring, & real estate services",1,total,C1401.01,93
Planning to develop programs to offset emissions: Plan to do in response to climate change,"Professional, scientific, & technical services",1,total,C1401.01,576
Planning to develop programs to offset emissions: Plan to do in response to climate change,Computer systems design,2,total,C1401.01,111
Planning to develop programs to offset emissions: Plan to do in response to climate change,Other professional scientific,2,total,C1401.01,468
Planning to develop programs to offset emissions: Plan to do in response to climate change,Administrative & support services,1,total,C1401.01,243
Planning to develop programs to offset emissions: Plan to do in response to climate change,Education & training,1,total,C1401.01,177
Planning to develop programs to offset emissions: Plan to do in response to climate change,Health care & social assistance,1,total,C1401.01,420
Planning to develop programs to offset emissions: Plan to do in response to climate change,Arts & recreation services,1,total,C1401.01,87
Planning to develop programs to offset emissions: Plan to do in response to climate change,Other services,1,total,C1401.01,36
Planning to develop programs to offset emissions: Plan to do in response to climate change,total,0,total,C1401.01,5133
Planning to develop programs to offset emissions: Plan to do for some other reason,total,0,6–19 employees,C1401.02,1908
Planning to develop programs to offset emissions: Plan to do for some other reason,total,0,20–49 employees,C1401.02,426
Planning to develop programs to offset emissions: Plan to do for some other reason,total,0,50–99 employees,C1401.02,165
Planning to develop programs to offset emissions: Plan to do for some other reason,total,0,100+ employees,C1401.02,123
Planning to develop programs to offset emissions: Plan to do for some other reason,"Agriculture, forestry, & fishing",1,total,C1401.02,753
Planning to develop programs to offset emissions: Plan to do for some other reason,Agriculture,2,total,C1401.02,630
Planning to develop programs to offset emissions: Plan to do for some other reason,Commercial fishing,2,total,C1401.02,3
Planning to develop programs to offset emissions: Plan to do for some other reason,Forestry & logging,2,total,C1401.02,33
Planning to develop programs to offset emissions: Plan to do for some other reason,"Agriculture, forestry, & fishing support services",2,total,C1401.02,87
Planning to develop programs to offset emissions: Plan to do for some other reason,Mining,1,total,C1401.02,24
Planning to develop programs to offset emissions: Plan to do for some other reason,Manufacturing,1,total,C1401.02,276
Planning to develop programs to offset emissions: Plan to do for some other reason,"Food, beverage, & tobacco",2,total,C1401.02,96
Planning to develop programs to offset emissions: Plan to do for some other reason,"Textile, clothing, footwear, & leather",2,total,C1401.02,12
Planning to develop programs to offset emissions: Plan to do for some other reason,Wood & paper product,2,total,C1401.02,24
Planning to develop programs to offset emissions: Plan to do for some other reason,"Printing, publishing, & recorded media",2,total,C1401.02,3
Planning to develop programs to offset emissions: Plan to do for some other reason,"Petroleum, coal, chemical, & associated product",2,total,C1401.02,45
Planning to develop programs to offset emissions: Plan to do for some other reason,Non-metallic mineral product,2,total,C1401.02,9
Planning to develop programs to offset emissions: Plan to do for some other reason,Metal product,2,total,C1401.02,30
Planning to develop programs to offset emissions: Plan to do for some other reason,Transport and industrial machinery & equipment,2,total,C1401.02,36
Planning to develop programs to offset emissions: Plan to do for some other reason,Other machinery & equipment,2,total,C1401.02,9
Planning to develop programs to offset emissions: Plan to do for some other reason,Other manufacturing,2,total,C1401.02,15
Planning to develop programs to offset emissions: Plan to do for some other reason,"Electricity, gas, water, & waste services",1,total,C1401.02,12
Planning to develop programs to offset emissions: Plan to do for some other reason,Construction,1,total,C1401.02,210
Planning to develop programs to offset emissions: Plan to do for some other reason,Wholesale trade,1,total,C1401.02,162
Planning to develop programs to offset emissions: Plan to do for some other reason,Machinery & equipment wholesaling,2,total,C1401.02,6
Planning to develop programs to offset emissions: Plan to do for some other reason,Other wholesale trade,2,total,C1401.02,153
Planning to develop programs to offset emissions: Plan to do for some other reason,Retail trade,1,total,C1401.02,114
Planning to develop programs to offset emissions: Plan to do for some other reason,Accommodation & food services,1,total,C1401.02,333
Planning to develop programs to offset emissions: Plan to do for some other reason,"Transport, postal, & warehousing",1,total,C1401.02,90
Planning to develop programs to offset emissions: Plan to do for some other reason,Information media & telecommunications,1,total,C1401.02,6
Planning to develop programs to offset emissions: Plan to do for some other reason,Publishing,2,total,C1401.02,0
Planning to develop programs to offset emissions: Plan to do for some other reason,Motion picture,2,total,C1401.02,0
Planning to develop programs to offset emissions: Plan to do for some other reason,Telecommunications,2,total,C1401.02,3
Planning to develop programs to offset emissions: Plan to do for some other reason,Financial & insurance services,1,total,C1401.02,24
Planning to develop programs to offset emissions: Plan to do for some other reason,Finance,2,total,C1401.02,12
Planning to develop programs to offset emissions: Plan to do for some other reason,Insurance,2,total,C1401.02,3
Planning to develop programs to offset emissions: Plan to do for some other reason,Auxiliary,2,total,C1401.02,12
Planning to develop programs to offset emissions: Plan to do for some other reason,"Rental, hiring, & real estate services",1,total,C1401.02,33
Planning to develop programs to offset emissions: Plan to do for some other reason,"Professional, scientific, & technical services",1,total,C1401.02,162
Planning to develop programs to offset emissions: Plan to do for some other reason,Computer systems design,2,total,C1401.02,30
Planning to develop programs to offset emissions: Plan to do for some other reason,Other professional scientific,2,total,C1401.02,132
Planning to develop programs to offset emissions: Plan to do for some other reason,Administrative & support services,1,total,C1401.02,84
Planning to develop programs to offset emissions: Plan to do for some other reason,Education & training,1,total,C1401.02,96
Planning to develop programs to offset emissions: Plan to do for some other reason,Health care & social assistance,1,total,C1401.02,117
Planning to develop programs to offset emissions: Plan to do for some other reason,Arts & recreation services,1,total,C1401.02,33
Planning to develop programs to offset emissions: Plan to do for some other reason,Other services,1,total,C1401.02,93
Planning to develop programs to offset emissions: Plan to do for some other reason,total,0,total,C1401.02,2625
Planning to develop programs to offset emissions: Not planning to do,total,0,6–19 employees,C1401.03,11853
Planning to develop programs to offset emissions: Not planning to do,total,0,20–49 employees,C1401.03,3123
Planning to develop programs to offset emissions: Not planning to do,total,0,50–99 employees,C1401.03,822
Planning to develop programs to offset emissions: Not planning to do,total,0,100+ employees,C1401.03,555
Planning to develop programs to offset emissions: Not planning to do,"Agriculture, forestry, & fishing",1,total,C1401.03,783
Planning to develop programs to offset emissions: Not planning to do,Agriculture,2,total,C1401.03,468
Planning to develop programs to offset emissions: Not planning to do,Commercial fishing,2,total,C1401.03,18
Planning to develop programs to offset emissions: Not planning to do,Forestry & logging,2,total,C1401.03,66
Planning to develop programs to offset emissions: Not planning to do,"Agriculture, forestry, & fishing support services",2,total,C1401.03,228
Planning to develop programs to offset emissions: Not planning to do,Mining,1,total,C1401.03,33
Planning to develop programs to offset emissions: Not planning to do,Manufacturing,1,total,C1401.03,2214
Planning to develop programs to offset emissions: Not planning to do,"Food, beverage, & tobacco",2,total,C1401.03,390
Planning to develop programs to offset emissions: Not planning to do,"Textile, clothing, footwear, & leather",2,total,C1401.03,111
Planning to develop programs to offset emissions: Not planning to do,Wood & paper product,2,total,C1401.03,258
Planning to develop programs to offset emissions: Not planning to do,"Printing, publishing, & recorded media",2,total,C1401.03,78
Planning to develop programs to offset emissions: Not planning to do,"Petroleum, coal, chemical, & associated product",2,total,C1401.03,126
Planning to develop programs to offset emissions: Not planning to do,Non-metallic mineral product,2,total,C1401.03,96
Planning to develop programs to offset emissions: Not planning to do,Metal product,2,total,C1401.03,486
Planning to develop programs to offset emissions: Not planning to do,Transport and industrial machinery & equipment,2,total,C1401.03,438
Planning to develop programs to offset emissions: Not planning to do,Other machinery & equipment,2,total,C1401.03,105
Planning to develop programs to offset emissions: Not planning to do,Other manufacturing,2,total,C1401.03,123
Planning to develop programs to offset emissions: Not planning to do,"Electricity, gas, water, & waste services",1,total,C1401.03,66
Planning to develop programs to offset emissions: Not planning to do,Construction,1,total,C1401.03,2694
Planning to develop programs to offset emissions: Not planning to do,Wholesale trade,1,total,C1401.03,1197
Planning to develop programs to offset emissions: Not planning to do,Machinery & equipment wholesaling,2,total,C1401.03,414
Planning to develop programs to offset emissions: Not planning to do,Other wholesale trade,2,total,C1401.03,780
Planning to develop programs to offset emissions: Not planning to do,Retail trade,1,total,C1401.03,1995
Planning to develop programs to offset emissions: Not planning to do,Accommodation & food services,1,total,C1401.03,2121
Planning to develop programs to offset emissions: Not planning to do,"Transport, postal, & warehousing",1,total,C1401.03,696
Planning to develop programs to offset emissions: Not planning to do,Information media & telecommunications,1,total,C1401.03,138
Planning to develop programs to offset emissions: Not planning to do,Publishing,2,total,C1401.03,57
Planning to develop programs to offset emissions: Not planning to do,Motion picture,2,total,C1401.03,48
Planning to develop programs to offset emissions: Not planning to do,Telecommunications,2,total,C1401.03,30
Planning to develop programs to offset emissions: Not planning to do,Financial & insurance services,1,total,C1401.03,216
Planning to develop programs to offset emissions: Not planning to do,Finance,2,total,C1401.03,51
Planning to develop programs to offset emissions: Not planning to do,Insurance,2,total,C1401.03,9
Planning to develop programs to offset emissions: Not planning to do,Auxiliary,2,total,C1401.03,156
Planning to develop programs to offset emissions: Not planning to do,"Rental, hiring, & real estate services",1,total,C1401.03,279
Planning to develop programs to offset emissions: Not planning to do,"Professional, scientific, & technical services",1,total,C1401.03,1875
Planning to develop programs to offset emissions: Not planning to do,Computer systems design,2,total,C1401.03,294
Planning to develop programs to offset emissions: Not planning to do,Other professional scientific,2,total,C1401.03,1581
Planning to develop programs to offset emissions: Not planning to do,Administrative & support services,1,total,C1401.03,390
Planning to develop programs to offset emissions: Not planning to do,Education & training,1,total,C1401.03,270
Planning to develop programs to offset emissions: Not planning to do,Health care & social assistance,1,total,C1401.03,792
Planning to develop programs to offset emissions: Not planning to do,Arts & recreation services,1,total,C1401.03,117
Planning to develop programs to offset emissions: Not planning to do,Other services,1,total,C1401.03,474
Planning to develop programs to offset emissions: Not planning to do,total,0,total,C1401.03,16353
Planning to develop programs to offset emissions: Not applicable,total,0,6–19 employees,C1401.04,12462
Planning to develop programs to offset emissions: Not applicable,total,0,20–49 employees,C1401.04,2475
Planning to develop programs to offset emissions: Not applicable,total,0,50–99 employees,C1401.04,570
Planning to develop programs to offset emissions: Not applicable,total,0,100+ employees,C1401.04,408
Planning to develop programs to offset emissions: Not applicable,"Agriculture, forestry, & fishing",1,total,C1401.04,1002
Planning to develop programs to offset emissions: Not applicable,Agriculture,2,total,C1401.04,399
Planning to develop programs to offset emissions: Not applicable,Commercial fishing,2,total,C1401.04,21
Planning to develop programs to offset emissions: Not applicable,Forestry & logging,2,total,C1401.04,96
Planning to develop programs to offset emissions: Not applicable,"Agriculture, forestry, & fishing support services",2,total,C1401.04,489
Planning to develop programs to offset emissions: Not applicable,Mining,1,total,C1401.04,15
Planning to develop programs to offset emissions: Not applicable,Manufacturing,1,total,C1401.04,1404
Planning to develop programs to offset emissions: Not applicable,"Food, beverage, & tobacco",2,total,C1401.04,297
Planning to develop programs to offset emissions: Not applicable,"Textile, clothing, footwear, & leather",2,total,C1401.04,66
Planning to develop programs to offset emissions: Not applicable,Wood & paper product,2,total,C1401.04,183
Planning to develop programs to offset emissions: Not applicable,"Printing, publishing, & recorded media",2,total,C1401.04,60
Planning to develop programs to offset emissions: Not applicable,"Petroleum, coal, chemical, & associated product",2,total,C1401.04,135
Planning to develop programs to offset emissions: Not applicable,Non-metallic mineral product,2,total,C1401.04,51
Planning to develop programs to offset emissions: Not applicable,Metal product,2,total,C1401.04,219
Planning to develop programs to offset emissions: Not applicable,Transport and industrial machinery & equipment,2,total,C1401.04,213
Planning to develop programs to offset emissions: Not applicable,Other machinery & equipment,2,total,C1401.04,69
Planning to develop programs to offset emissions: Not applicable,Other manufacturing,2,total,C1401.04,108
Planning to develop programs to offset emissions: Not applicable,"Electricity, gas, water, & waste services",1,total,C1401.04,42
Planning to develop programs to offset emissions: Not applicable,Construction,1,total,C1401.04,2202
Planning to develop programs to offset emissions: Not applicable,Wholesale trade,1,total,C1401.04,1005
Planning to develop programs to offset emissions: Not applicable,Machinery & equipment wholesaling,2,total,C1401.04,276
Planning to develop programs to offset emissions: Not applicable,Other wholesale trade,2,total,C1401.04,726
Planning to develop programs to offset emissions: Not applicable,Retail trade,1,total,C1401.04,1725
Planning to develop programs to offset emissions: Not applicable,Accommodation & food services,1,total,C1401.04,2472
Planning to develop programs to offset emissions: Not applicable,"Transport, postal, & warehousing",1,total,C1401.04,366
Planning to develop programs to offset emissions: Not applicable,Information media & telecommunications,1,total,C1401.04,156
Planning to develop programs to offset emissions: Not applicable,Publishing,2,total,C1401.04,60
Planning to develop programs to offset emissions: Not applicable,Motion picture,2,total,C1401.04,45
Planning to develop programs to offset emissions: Not applicable,Telecommunications,2,total,C1401.04,48
Planning to develop programs to offset emissions: Not applicable,Financial & insurance services,1,total,C1401.04,276
Planning to develop programs to offset emissions: Not applicable,Finance,2,total,C1401.04,87
Planning to develop programs to offset emissions: Not applicable,Insurance,2,total,C1401.04,12
Planning to develop programs to offset emissions: Not applicable,Auxiliary,2,total,C1401.04,180
Planning to develop programs to offset emissions: Not applicable,"Rental, hiring, & real estate services",1,total,C1401.04,426
Planning to develop programs to offset emissions: Not applicable,"Professional, scientific, & technical services",1,total,C1401.04,1824
Planning to develop programs to offset emissions: Not applicable,Computer systems design,2,total,C1401.04,405
Planning to develop programs to offset emissions: Not applicable,Other professional scientific,2,total,C1401.04,1422
Planning to develop programs to offset emissions: Not applicable,Administrative & support services,1,total,C1401.04,756
Planning to develop programs to offset emissions: Not applicable,Education & training,1,total,C1401.04,447
Planning to develop programs to offset emissions: Not applicable,Health care & social assistance,1,total,C1401.04,1050
Planning to develop programs to offset emissions: Not applicable,Arts & recreation services,1,total,C1401.04,231
Planning to develop programs to offset emissions: Not applicable,Other services,1,total,C1401.04,513
Planning to develop programs to offset emissions: Not applicable,total,0,total,C1401.04,15915
Planning to develop programs to offset emissions: Don't know,total,0,6–19 employees,C1401.05,5598
Planning to develop programs to offset emissions: Don't know,total,0,20–49 employees,C1401.05,1155
Planning to develop programs to offset emissions: Don't know,total,0,50–99 employees,C1401.05,369
Planning to develop programs to offset emissions: Don't know,total,0,100+ employees,C1401.05,291
Planning to develop programs to offset emissions: Don't know,"Agriculture, forestry, & fishing",1,total,C1401.05,435
Planning to develop programs to offset emissions: Don't know,Agriculture,2,total,C1401.05,261
Planning to develop programs to offset emissions: Don't know,Commercial fishing,2,total,C1401.05,6
Planning to develop programs to offset emissions: Don't know,Forestry & logging,2,total,C1401.05,54
Planning to develop programs to offset emissions: Don't know,"Agriculture, forestry, & fishing support services",2,total,C1401.05,114
Planning to develop programs to offset emissions: Don't know,Mining,1,total,C1401.05,18
Planning to develop programs to offset emissions: Don't know,Manufacturing,1,total,C1401.05,918
Planning to develop programs to offset emissions: Don't know,"Food, beverage, & tobacco",2,total,C1401.05,213
Planning to develop programs to offset emissions: Don't know,"Textile, clothing, footwear, & leather",2,total,C1401.05,48
Planning to develop programs to offset emissions: Don't know,Wood & paper product,2,total,C1401.05,39
Planning to develop programs to offset emissions: Don't know,"Printing, publishing, & recorded media",2,total,C1401.05,51
Planning to develop programs to offset emissions: Don't know,"Petroleum, coal, chemical, & associated product",2,total,C1401.05,93
Planning to develop programs to offset emissions: Don't know,Non-metallic mineral product,2,total,C1401.05,33
Planning to develop programs to offset emissions: Don't know,Metal product,2,total,C1401.05,141
Planning to develop programs to offset emissions: Don't know,Transport and industrial machinery & equipment,2,total,C1401.05,180
Planning to develop programs to offset emissions: Don't know,Other machinery & equipment,2,total,C1401.05,36
Planning to develop programs to offset emissions: Don't know,Other manufacturing,2,total,C1401.05,90
Planning to develop programs to offset emissions: Don't know,"Electricity, gas, water, & waste services",1,total,C1401.05,36
Planning to develop programs to offset emissions: Don't know,Construction,1,total,C1401.05,1230
Planning to develop programs to offset emissions: Don't know,Wholesale trade,1,total,C1401.05,414
Planning to develop programs to offset emissions: Don't know,Machinery & equipment wholesaling,2,total,C1401.05,159
Planning to develop programs to offset emissions: Don't know,Other wholesale trade,2,total,C1401.05,255
Planning to develop programs to offset emissions: Don't know,Retail trade,1,total,C1401.05,771
Planning to develop programs to offset emissions: Don't know,Accommodation & food services,1,total,C1401.05,1392
Planning to develop programs to offset emissions: Don't know,"Transport, postal, & warehousing",1,total,C1401.05,261
Planning to develop programs to offset emissions: Don't know,Information media & telecommunications,1,total,C1401.05,60
Planning to develop programs to offset emissions: Don't know,Publishing,2,total,C1401.05,15
Planning to develop programs to offset emissions: Don't know,Motion picture,2,total,C1401.05,27
Planning to develop programs to offset emissions: Don't know,Telecommunications,2,total,C1401.05,15
Planning to develop programs to offset emissions: Don't know,Financial & insurance services,1,total,C1401.05,39
Planning to develop programs to offset emissions: Don't know,Finance,2,total,C1401.05,24
Planning to develop programs to offset emissions: Don't know,Insurance,2,total,C1401.05,3
Planning to develop programs to offset emissions: Don't know,Auxiliary,2,total,C1401.05,15
Planning to develop programs to offset emissions: Don't know,"Rental, hiring, & real estate services",1,total,C1401.05,207
Planning to develop programs to offset emissions: Don't know,"Professional, scientific, & technical services",1,total,C1401.05,420
Planning to develop programs to offset emissions: Don't know,Computer systems design,2,total,C1401.05,105
Planning to develop programs to offset emissions: Don't know,Other professional scientific,2,total,C1401.05,318
Planning to develop programs to offset emissions: Don't know,Administrative & support services,1,total,C1401.05,294
Planning to develop programs to offset emissions: Don't know,Education & training,1,total,C1401.05,114
Planning to develop programs to offset emissions: Don't know,Health care & social assistance,1,total,C1401.05,459
Planning to develop programs to offset emissions: Don't know,Arts & recreation services,1,total,C1401.05,51
Planning to develop programs to offset emissions: Don't know,Other services,1,total,C1401.05,279
Planning to develop programs to offset emissions: Don't know,total,0,total,C1401.05,7410
Planning to reduce waste: Plan to do in response to climate change,total,0,6–19 employees,C1402.01,11169
Planning to reduce waste: Plan to do in response to climate change,total,0,20–49 employees,C1402.01,2910
Planning to reduce waste: Plan to do in response to climate change,total,0,50–99 employees,C1402.01,891
Planning to reduce waste: Plan to do in response to climate change,total,0,100+ employees,C1402.01,909
Planning to reduce waste: Plan to do in response to climate change,"Agriculture, forestry, & fishing",1,total,C1402.01,1341
Planning to reduce waste: Plan to do in response to climate change,Agriculture,2,total,C1402.01,1053
